suppliersId,productsId
0cd64a56-33c0-409f-80a5-b3d8a2310b82,water-heater-suppliers
0cf74db3-59ed-44e2-8163-67d4b773b68c,audio-visual-equipment-suppliers
0d53972e-9161-41b3-bb56-e7beb9550026,cable-management-suppliers
0d53972e-9161-41b3-bb56-e7beb9550026,light-fittings-suppliers
0d53972e-9161-41b3-bb56-e7beb9550026,switchgear-suppliers
0d53972e-9161-41b3-bb56-e7beb9550026,wire-cable-suppliers
0d53972e-9161-41b3-bb56-e7beb9550026,wiring-accessories-suppliers
0e0bee0a-9326-4a5d-a9f6-1385c06a6893,hand-tools-suppliers
0e0bee0a-9326-4a5d-a9f6-1385c06a6893,sanitary-ware-suppliers
0e2763e7-bc2a-43df-88fb-7d7d38934b78,aluminum-pvc-doors-windows-cabinets-suppliers
0e2763e7-bc2a-43df-88fb-7d7d38934b78,cladding-suppliers
0e2763e7-bc2a-43df-88fb-7d7d38934b78,furnishings-upholstery-textile-suppliers
0e2763e7-bc2a-43df-88fb-7d7d38934b78,metal-doors-windows-cabinets-suppliers
0e2eb8be-fbc4-46fe-aef8-ac2e351e0c2e,steel-suppliers
0e2eb8be-fbc4-46fe-aef8-ac2e351e0c2e,suspended-ceilings-suppliers
0f395499-1f08-48e1-a5ec-edf452d8765a,ceramic-suppliers
0f395499-1f08-48e1-a5ec-edf452d8765a,granite-suppliers
0f395499-1f08-48e1-a5ec-edf452d8765a,marble-suppliers
1007bfd7-baea-466f-8371-12172ccb76fa,block-brick-suppliers
1007bfd7-baea-466f-8371-12172ccb76fa,ceramic-suppliers
1007bfd7-baea-466f-8371-12172ccb76fa,formwork-suppliers
1007bfd7-baea-466f-8371-12172ccb76fa,hand-tools-suppliers
1007bfd7-baea-466f-8371-12172ccb76fa,light-fittings-suppliers
